Id,Title,Senior,Company,Location,Salary,Currency,date
1.0,Team Manager (AI/IoT),False,Fitech Sp. ZO.O,Kraków,19 000  – 26 000  PLN,PLN,01.07.2023
2.0,AI Engineer,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.07.2023
3.0,Test Engineer AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.07.2023
4.0,Application Support Engineer,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.07.2023
5.0,Java Developer AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 22 000  PLN,PLN,01.07.2023
6.0,AI &amp; Math,False,Camino Science sp. z o.o.,Zdalnie    +1,12 000  – 16 000  PLN,PLN,01.07.2023
7.0,Integration Specialist AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.07.2023
8.0,Senior Project Manager - Data Labeling,True,Focal Systems,Zdalnie,22 000  – 30 000  PLN,PLN,01.07.2023
9.0,Senior AI Engineer,True,Vestigit,Wrocław,16 000  – 21 000  PLN,PLN,01.07.2023
10.0,Mid AI Engineer,False,Vestigit,Wrocław,12 000  – 17 000  PLN,PLN,01.07.2023
11.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN,01.07.2023
12.0,AI &amp; Math (Open PhD Conduct),False,Camino Science sp. z o.o.,Zdalnie    +1,10 000  – 14 000  PLN,PLN,01.07.2023
13.0,Mid C++ Embedded Developer,False,Myled,Kraków,14 000  – 20 000  PLN,PLN,01.07.2023
14.0,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie    +1,20 000  – 26 000  PLN,PLN,01.07.2023
15.0,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,92 250  – 180 811  PLN,PLN,01.07.2023
16.0,Senior AI Engineer,True,BCF Software Sp. z o.o.,Poznań,16 800  – 20 160  PLN,PLN,01.07.2023
17.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN,01.07.2023
18.0,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie    +1,20 000  – 26 000  PLN,PLN,01.07.2023
19.0,AI Engineer,False,CDeX,Zdalnie    +1,27 000  – 32 000  PLN,PLN,01.07.2023
20.0,Machine Learning Engineer (XAI project),False,10 Senses,Warszawa    +1,25 200  – 33 600  PLN,PLN,01.07.2023
21.0,Senior AI Engineer,True,Vestigit,Wrocław,20 000  – 25 000  PLN,PLN,01.07.2023
22.0,Mid AI Engineer,False,Vestigit,Wrocław,12 000  – 17 000  PLN,PLN,01.07.2023
23.0,AI Developer,False,lemon.io,Zdalnie    +1,20 434  – 40 869  PLN,PLN,01.07.2023
24.0,AI &amp; Math (PhD/ongoing PHD preferable),False,Camino Science sp. z o.o.,Zdalnie    +1,16 000  – 25 000  PLN,PLN,01.07.2023
25.0,Lead Python + Django AI,True,Ideamotive,Zdalnie,24 000  – 37 000  PLN,PLN,01.07.2023
26.0,Applied Scientist (Mid/Senior),True,Infermedica Sp z.o.o,Zdalnie    +1,20 000  – 25 000  PLN,PLN,01.07.2023
27.0,Senior Applied Research Scientist,True,Infermedica Sp z.o.o,Zdalnie    +1,20 000  – 25 000  PLN,PLN,01.07.2023
28.0,Remote Backend/AI Engineer (Golang),False,Bash,Zdalnie,14 000  – 24 000  PLN,PLN,01.07.2023
