Id,Title,Senior,Company,Location,Salary,Currency,date
1.0,MLOps Engineer,False,SoftServe,Zdalnie    +1,21 000  – 27 000  PLN,PLN,01.12.2023
2.0,Lead MLOps Engineer (Nvidia AI Stack Expert),True,SoftServe,Zdalnie    +1,28 000  – 34 000  PLN,PLN,01.12.2023
3.0,AI DevOps Engineer,False,Lingaro,Zdalnie    +1,16 800  – 20 160  PLN,PLN,01.12.2023
4.0,Senior Data Scientist,True,Reply Polska,Katowice,16 000  – 22 000  PLN,PLN,01.12.2023
5.0,Data Scientist,False,Objectivity - part of Accenture,Zdalnie    +2,16 800  – 25 200  PLN,PLN,01.12.2023
6.0,Data Science Manager,False,Addepto,Zdalnie    +5,18 000  – 30 000  PLN,PLN,01.12.2023
7.0,Power Automate Expert,True,Hemmersbach,Zdalnie    +1,13 440  – 15 960  PLN,PLN,01.12.2023
8.0,Senior MLOps Engineer,True,Devire,Zdalnie    +1,26 880  – 30 240  PLN,PLN,01.12.2023
9.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN,01.12.2023
10.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN,01.12.2023
11.0,Deep Learning Engineer,False,in4ge sp. z o.o.,Zdalnie    +1,22 000  – 28 000  PLN,PLN,01.12.2023
12.0,Machine Learning Engineer,False,in4ge sp. z o.o.,Zdalnie    +1,20 000  – 26 000  PLN,PLN,01.12.2023
13.0,Inżynier Uczenia Maszynowego,False,Centralny Ośrodek Informatyki,Zdalnie    +1,14 000  – 28 000  PLN,PLN,01.12.2023
14.0,Python Developer - AI,False,Zone IT Sp. z o.o.,Wrocław,17 000  – 28 000  PLN,PLN,01.12.2023
15.0,Tester (Pentester) - AI,False,Zone IT Sp. z o.o.,Wrocław,10 000  – 18 000  PLN,PLN,01.12.2023
16.0,Oracle Specialist - AI,False,Zone IT Sp. z o.o.,Wrocław,19 000  – 28 000  PLN,PLN,01.12.2023
17.0,Test Engineer - AI,False,Zone IT Sp. z o.o.,Wrocław,12 000  – 21 000  PLN,PLN,01.12.2023
18.0,Data Scientist,False,Numlabs,Zdalnie    +1,9 000  – 14 000  PLN,PLN,01.12.2023
19.0,Machine Learning Engineer,False,Numlabs,Zdalnie    +1,8 500  – 14 500  PLN,PLN,01.12.2023
20.0,Senior Machine Learning Engineer,True,Numlabs,Zdalnie    +1,14 500  – 18 500  PLN,PLN,01.12.2023
21.0,Principal Software Engineer,False,AI REV,Zdalnie,26 880  – 43 680  PLN,PLN,01.12.2023
22.0,AI &amp; Math CUDA (C++) Developer,False,Camino Science sp. z o.o.,Zdalnie    +1,12 000  – 16 000  PLN,PLN,01.12.2023
23.0,Senior AI &amp; Math CUDA (C++) Developer,True,Camino Science sp. z o.o.,Zdalnie    +1,16 000  – 19 000  PLN,PLN,01.12.2023
24.0,Computer Vision Engineer,False,Spline,Zdalnie,22 000  – 25 000  PLN,PLN,01.12.2023
25.0,Konsultant Techniczny Samba.ai,False,Samba.ai,Wrocław,6 000  – 9 000  PLN,PLN,01.12.2023
26.0,Azure AI Solutions Consultant (OpenAI),False,Elitmind,Zdalnie    +4,15 960  – 29 904  PLN,PLN,01.12.2023
27.0,Data Scientist ( Mid / Senior ),True,Addepto,Zdalnie    +5,13 000  – 26 000  PLN,PLN,01.12.2023
28.0,Machine Learning Engineer,False,RTB House,Zdalnie    +1,30 000  – 47 000  PLN,PLN,01.12.2023
29.0,ML (Python + NLP) Engineer,False,SFox,Zdalnie,13 048  – 21 747  PLN,PLN,01.12.2023
30.0,Directory Development Executive,False,ENF Ltd.,Zdalnie,5 219  – 7 393  PLN,PLN,01.12.2023
31.0,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,92 250  – 180 811  PLN,PLN,01.12.2023
32.0,Senior Data Scientist (Linear Optimization),True,hubQuest,Zdalnie    +1,28 500  – 37 000  PLN,PLN,01.12.2023
33.0,Junior Data Scientist,False,datanalytics DA GmbH,Zdalnie,29 228  – 40 188  PLN,PLN,01.12.2023
34.0,Senior Machine Learning Engineer,True,Objectivity - part of Accenture,Zdalnie    +2,23 520  – 30 240  PLN,PLN,01.12.2023
35.0,Senior ML (NLP) Engineer,True,Zowie,Zdalnie    +2,15 000  – 30 000  PLN,PLN,01.12.2023
36.0,Senior JavaScript Developer (AI projects),True,10Clouds,Zdalnie    +2,17 000  – 28 000  PLN,PLN,01.12.2023
37.0,Senior Data Scientist REMOTE 🌍,True,Sigmoidal LLC,Zdalnie,27 138  – 33 723  PLN,PLN,01.12.2023
38.0,Team Manager (AI/IoT),False,Fitech Sp. ZO.O,Kraków,19 000  – 26 000  PLN,PLN,01.12.2023
39.0,AI Solutions Delivery Officer,False,ITDS,"Riyadh  , SA   +1",55 000  – 70 000  PLN,PLN,01.12.2023
40.0,Kierownik B+R z doświadczeniem IoT lub AI,False,Ingenious Lab sp. z o. o.,Zdalnie,16 000  – 22 000  PLN,PLN,01.12.2023
41.0,Senior Data Scientist,True,SKY ENGINE AI,Warsaw,20 000  – 28 000  PLN,PLN,01.12.2023
42.0,ML Engineer Senior - Full Time,True,AI REV,Zdalnie,22 680  – 31 584  PLN,PLN,01.12.2023
43.0,NLP Engineer,False,Business Online Services,Zdalnie,14 000  – 24 000  PLN,PLN,01.12.2023
44.0,AI Engineer (Generative AI &amp; NLP),False,Altimetrik Poland,Zdalnie    +1,22 000  – 28 000  PLN,PLN,01.12.2023
45.0,Data Scientist (Junior/Mid),False,Addepto,Zdalnie    +5,7 000  – 12 600  PLN,PLN,01.12.2023
46.0,Senior ML Voice - Part Time,True,AI REV,Zdalnie    +1,18 000  PLN,PLN,01.12.2023
47.0,Senior Data Scientist,True,hubQuest,Zdalnie    +1,28 500  – 37 000  PLN,PLN,01.12.2023
48.0,AI Engineer,False,Ness Solution Sp. z o. o.,Zdalnie,18 480  – 36 960  PLN,PLN,01.12.2023
49.0,Senior AI Engineer,True,Lingaro,Zdalnie    +1,25 200  – 33 600  PLN,PLN,01.12.2023
