Id,Title,Senior,Company,Location,Salary,Currency,date
1.0,Remote Data Scientist,False,Addepto,Zdalnie    +5,12 600  – 18 480  PLN,PLN,01.10.2023
2.0,Data Automation &amp; AI Engineer,False,Pitney Bowes Polska Sp. z o.o.,Zdalnie    +1,15 000  – 20 000  PLN,PLN,01.10.2023
3.0,AI &amp; BigDate Team Member,False,CIŚ within Narodowe Centrum Badań Jądrowych,Otwock,5 000  – 7 000  PLN,PLN,01.10.2023
4.0,Data Scientist (AI),False,Addepto,Zdalnie    +5,6 000  – 12 000  PLN,PLN,01.10.2023
5.0,Tester oprogramowania systemów AI,False,Maxto,Kraków,5 000  – 10 000  PLN,PLN,01.10.2023
6.0,Analityka video AI - Programista PHP,False,Maxto,Kraków,8 000  – 16 000  PLN,PLN,01.10.2023
7.0,AI Engineer,False,CallPage,Zdalnie    +1,14 000  – 24 000  PLN,PLN,01.10.2023
8.0,Konsultant Techniczny Samba.ai,False,Samba.ai,Wrocław,6 000  – 9 000  PLN,PLN,01.10.2023
9.0,Senior Deep Learning Firmware Engineer,True,EER Poland,Kraków,25 000  – 40 000  PLN,PLN,01.10.2023
10.0,Senior JavaScript Developer (AI projects),True,10Clouds,Zdalnie    +2,17 000  – 28 000  PLN,PLN,01.10.2023
11.0,Deep Learning Engineer,False,in4ge sp. z o.o.,Zdalnie    +1,18 000  – 28 000  PLN,PLN,01.10.2023
12.0,Machine Learning Engineer,False,in4ge sp. z o.o.,Zdalnie    +1,18 000  – 26 000  PLN,PLN,01.10.2023
13.0,Senior Data Scientist,True,in4ge sp. z o.o.,Zdalnie    +1,20 000  – 28 000  PLN,PLN,01.10.2023
14.0,Senior Deep Learning Engineer,True,Focal Systems,Zdalnie,74 000  – 119 000  PLN,PLN,01.10.2023
15.0,Deep Learning Engineer,False,Focal Systems,Zdalnie,44 700  – 74 600  PLN,PLN,01.10.2023
16.0,Senior MLOps Engineer with Azure,True,Nordcloud,Zdalnie    +3,27 000  – 32 000  PLN,PLN,01.10.2023
17.0,Principal Deep Learning Engineer,False,Focal Systems,Zdalnie,92 250  – 180 811  PLN,PLN,01.10.2023
18.0,Senior Data Scientist,True,Focal Systems,Zdalnie,25 000  – 35 000  PLN,PLN,01.10.2023
19.0,Directory Development Executive,False,ENF Ltd.,Zdalnie,5 562  – 7 880  PLN,PLN,01.10.2023
20.0,Machine Learning Engineer,False,RTB House,Zdalnie    +1,30 000  – 47 000  PLN,PLN,01.10.2023
21.0,Machine Learning Researcher,False,RTB House,Zdalnie    +2,30 000  – 47 000  PLN,PLN,01.10.2023
22.0,EDGE Machine Learning Engineer,False,MEV,Zdalnie    +2,19 663  – 32 772  PLN,PLN,01.10.2023
23.0,Senior ML Voice - Part Time,True,AI REV,Zdalnie    +1,18 000  PLN,PLN,01.10.2023
24.0,Senior Research Engineer (Optimization),True,SoftServe,Zdalnie    +1,20 000  – 26 000  PLN,PLN,01.10.2023
25.0,AI &amp; Math,False,Camino Science sp. z o.o.,Zdalnie    +1,9 000  – 14 000  PLN,PLN,01.10.2023
26.0,AI &amp; Math (Open PhD Conduct),False,Camino Science sp. z o.o.,Zdalnie    +1,8 000  – 9 000  PLN,PLN,01.10.2023
27.0,AI &amp; Math (PhD/ongoing PhD nice-to-have),False,Camino Science sp. z o.o.,Zdalnie    +1,15 000  – 16 000  PLN,PLN,01.10.2023
28.0,AI Engineer,False,Ringier Axel Springer Tech,Kraków    +2,11 700  – 19 600  PLN,PLN,01.10.2023
29.0,Data Engineer Azure,False,Zone IT Sp. z o.o.,Wrocław,18 000  – 26 000  PLN,PLN,01.10.2023
30.0,ML Engineer Senior - Full Time,True,AI REV,Zdalnie,22 680  – 31 584  PLN,PLN,01.10.2023
31.0,Senior Data Scientist,True,SKY ENGINE AI,Warsaw,20 000  – 28 000  PLN,PLN,01.10.2023
32.0,NLP Engineer,False,Business Online Services,Zdalnie,14 000  – 24 000  PLN,PLN,01.10.2023
33.0,AI Engineer,False,Ness Solution Sp. z o. o.,Zdalnie,18 480  – 36 960  PLN,PLN,01.10.2023
34.0,Technical Team Leader | ML/AI,True,Open Nexus sp. z o.o.,Poznań,23 000  – 27 000  PLN,PLN,01.10.2023
35.0,Remote MLOps Engineer / Data Scientist,False,Addepto,Zdalnie    +5,12 600  – 20 160  PLN,PLN,01.10.2023
36.0,Junior Data Ingestion Engineer,False,Sigmoidal LLC,Wrocław,7 000  – 12 000  PLN,PLN,01.10.2023
37.0,Junior Machine Learning,False,Mindpal,Zdalnie,8 400  – 11 760  PLN,PLN,01.10.2023
38.0,Senior Java Developer,True,Recruby Hungary Kft,"Budapest  , HU",20 145  – 30 810  PLN,PLN,01.10.2023
